GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]
160611A	21:40:34	164.417	-70.396	1.2	34.1	17	1	2.0	0.3
160607A	11:14:00	13.661	-4.952	1.0	33.4	210	0	21.8	0.5
160601A	14:43:02	234.923	64.532	1.9	0.12	0.66	0.11	0.9	0.2
160525B	09:25:07	149.438	51.197	2.2	0.29	0.32	0.08	0.9	0.2
#	160525A	01:33:59	103.575	-0.199	3.4	n/a	1.9	0.7	0.06	0.02
160519A	00:17:33	71.122	31.246	2.2	35.57	12	2	2.4	0.5
160506A	03:29:15	265.857	-46.127	1.6	254.5	15	2	0.4	0.3
160504A	19:30:37	170.073	56.002	1.7	53.9	7.3	0.9	0.7	0.1
160501A	00:40:31	286.389	-17.249	1.8	118	9.5	1.3	0.5	0.2
160425A	23:26:11	280.339	-54.343	3.5	304.58	21	2	2.8	0.2
160424A	11:49:07	319.482	-60.408	1.2	6.3	12	1	5.1	0.4
160419A	15:16:37	16.418	-27.341	1.0	8.8	35	2	8.9	0.7
160417A	04:23:41	120.260	7.646	1.9	15	5.9	0.8	1.0	0.3
160412A	04:23:54	33.074	-67.636	1.0	31.6	19	1	1.6	0.2
160411A	01:28:51	349.370	-40.258	2.4	0.36	0.80	0.18	1.5	0.3
160410A	05:09:48	150.695	3.461	1.5	8.2	7.8	0.8	3.5	0.3
#	160409A	05:54:14	289.705	-5.390	3	n/a	n/a	n/a	n/a	n/a
160408A	06:25:43	122.561	71.128	1.8	0.32	1.6	0.2	2.1	0.3
160327A	09:16:07	146.698	54.018	1.0	28	14	1	1.8	0.2
160325A	07:00:03	15.697	-72.702	1.0	64.9	71	2	5.2	0.2
160321A	15:55:27	99.420	5.753	1.6	33.6	5.3	0.7	0.5	0.1
160314A	11:32:51	112.766	17.024	1.7	8.73	2.8	0.4	0.9	0.2
160313A	02:37:15	183.821	57.278	2.0	42.6	5.8	0.8	0.4	0.1
160303A	10:54:42	168.710	22.710	2.1	5.0	1.5	0.3	1.0	0.1
160228A	17:34:32	107.311	26.946	1.3	98.36	20	1	1.2	0.1
160227A	19:32:08	195.034	78.672	2.8	316.5	31	2	0.6	0.1
160225A	14:20:56	164.217	53.659	1.9	157	16	2	1.0	0.2
160223A	01:44:25	147.603	9.369	1.0	127	50	2	3.1	0.2
160220B	11:10:53	259.851	-18.123	1.0	31.4	70	2	6.6	0.4
160220A	01:25:25	236.942	-18.539	1.8	8.3	5.2	0.7	1.0	0.3
160216A	19:10:31	311.679	-71.550	1.0	11.0	20	1	7.3	0.5
160203A	02:13:10	161.967	-24.772	1.7	20.2	12	1	1.3	0.4
160131A	08:20:31	78.170	-7.037	1.1	325	204	5	6.4	0.3
160127A	08:43:07	225.966	0.080	1.8	6.16	3.3	0.5	1.4	0.3
160123A	08:58:20	150.277	-33.790	1.6	3.95	3.5	0.4	1.3	0.2
160121A	13:50:37	109.080	-23.590	1.2	12.0	6.1	0.5	1.2	0.2
160119A	03:06:08	211.916	20.453	2.0	116	71	2	2.9	0.2
#	160117B	13:59:27	132.190	-16.340	3	n/a	n/a	n/a	n/a	n/a
160117A	10:13:39	20.367	-0.677	1.8	118.58	31	2	1.4	0.2
160104A	11:24:10	76.808	11.334	1.7	16.2	4.0	0.5	1.0	0.2
151229A	06:50:27	329.363	-20.732	1.0	1.78	5.9	0.4	7.2	0.4
151228B	22:47:14	344.431	8.081	1.0	48.0	24	1	1.0	0.2
151228A	03:05:12	214.017	-17.665	1.8	0.27	0.84	0.11	0.9	0.2
151215A	03:01:28	93.622	35.529	2.8	17.8	3.1	0.7	1.6	0.2
151210A	03:12:56	65.080	-71.225	1.8	94.9	13	2	0.8	0.2
