GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
090102	02:55:45	128.248	33.107	1.4	27.0	0.68	0.03	5.5	0.8	1.547 (NOT)|1.546 (Palomar 200": absorption)|1.55 (Hobby-Eberly: absorption)
#	081222	04:53:59	22.748	-34.095	1.0	24	48	1	7.7	0.2	~2.7 (UVOT)|2.77 (Gemini-South: absorption)|2.77 (Gemini-North: absorption)
081222	04:53:59	22.748	-34.095	1.0	24	48	1	7.7	0.2	2.700 (UVOT)|2.77 (Gemini-South: absorption)|2.77 (Gemini-North: absorption)
081221	16:21:11	15.801	-24.542	1.0	34	181	3	18.2	0.5	2.260 (Salvaterra)
081203A	13:57:11	233.071	63.514	1.1	294	77	3	2.9	0.2	2.100 (UVOT: absorption)
081121	20:35:32	89.282	-60.612	1.4	14	41	3	4.4	1.0	2.512 (Magellan/Clay: aborption)
081118	14:56:36	82.572	-43.305	1.6	67	12	1	0.6	0.2	2.580 (VLT: absorption)
081029	01:43:56	346.776	-68.179	2.2	270	21	2	0.5	0.2	3.8479 (VLT: absorption, host)|3.847 (Gemini-South: absorption)
081028A	00:25:00	121.893	2.305	1.2	260	37	2	0.5	0.1	3.038 (Magellan/Clay: absorption)
081008	19:58:09	279.968	-57.433	1.1	185.5	43	2	1.3	0.1	1.9685 (VLT: absorption)|1.967 (Gemini-South: absorption)
081007	05:23:52	339.963	-40.146	1.5	10.0	7.1	0.8	2.6	0.4	0.5295 (Gemini-South: absorption)
080928	15:01:32	95.061	-55.176	2.3	280	25	2	2.1	0.1	1.692 (VLT: absorption)|1.69 (Gemini-South: absorption)
080916A	09:45:20	336.289	-57.026	1.0	60	40	1	2.7	0.2	0.689 (VLT: absorption and emission)
080913	06:46:54	65.741	-25.127	1.5	8	5.6	0.6	1.4	0.2	6.440 (ESO/MPI: photometric)|6.7 (VLT)
080906	13:33:16	228.055	-80.540	1.7	147	35	2	1.0	0.2	2.000 (UVOT: photometric)
080905B	16:55:45	301.746	-62.568	1.9	128	18	2	0.5	0.1	2.374 (VLT: absorption)
080905A	11:58:54	287.663	-18.865	2.1	1.0	1.4	0.2	1.3	0.2	0.1218 (emission from host)
080810	13:10:12	356.783	0.310	1.2	106	46	2	2.0	0.2	3.350 (Keck: absorption)|3.35 (RTT150: absorption)|3.35 (NOT: absorption)
080805	07:41:34	314.231	-62.433	1.0	78	25	1	1.1	0.1	1.505 (VLT: absorption)
080804	23:20:14	328.675	-53.189	1.2	34	36	2	3.1	0.4	2.2045 (VLT: absorption)|2.20 (Gemini-South: absorption)
080721	10:25:16	224.481	-11.709	1.3	16.2	120	10	20.9	1.8	2.602 (TNG: absorption)|2.591 (NOT: absorption)
080710	07:13:10	8.259	19.484	2.3	120	14	2	1.0	0.2	0.845 (Gemini-South: absorption)
080707	08:27:53	32.627	33.100	1.8	27.1	5.2	0.6	1.0	0.1	1.230 (VLT: absorption)
080607	06:07:27	194.964	15.910	1.0	79	240	0.0	23.1	1.1	3.036 (Keck I)
080605	23:47:57	262.130	4.010	1.0	20	133	2	19.9	0.6	1.6398 (VLT: absorption)
080604	07:27:01	236.960	20.557	2.0	82	8.0	0.9	0.4	0.1	1.416 (Gemini-North: absorption)
080603B	19:38:13	176.554	68.061	1.0	60	24	1	3.5	0.2	2.690 (NOT)|2.69 (Hobby-Eberly: absorption)
080520	22:20:24	280.179	-54.964	2.4	2.8	0.55	0.17	0.5	0.1	1.545 (VLT: emission)
080516	00:17:07	120.661	-26.146	2.1	5.8	2.6	0.4	1.8	0.3	3.200 (MPI/ESO: photometric)
#	080430	19:53:02	165.331	51.682	1.0	16.2	12	1	2.6	0.2	~0.75 (Calar Alto: absorption, probable)|0.767 (Hobby-Eberly: absorption)
080430	19:53:02	165.331	51.682	1.0	16.2	12	1	2.6	0.2	0.750 (Calar Alto: absorption, probable)|0.767 (Hobby-Eberly: absorption)
080413B	08:51:12	326.138	-19.981	1.0	8.0	32	1	18.7	0.8	1.100 (VLT: absorption)|1.10 (Gemini-South: absorption)
080413A	02:54:19	287.301	-27.677	1.0	46	35	1	5.6	0.2	2.433 (VLT: absorption)|2.43 (Gemini-South: absorption)
080411	21:15:32	37.961	-71.297	1.0	56	264	1	43.2	0.9	1.030 (VLT: absorption)
080330	03:41:16	169.278	30.607	1.8	61	3.4	0.8	0.9	0.2	1.510 (NOT: absorption)|1.51 (Hobby-Eberly: absorption)
080319C	12:25:56	259.006	55.393	1.0	34	36	1	5.2	0.3	1.950 (Gemini-North: absorption)
#	080319B	06:12:49	217.919	36.300	1.0	>50	810	10	24.8	0.5	0.937 (VLT Kueyen: absorption)|0.937 (Hobby-Eberly: absorption)
080310	08:37:58	220.040	-0.164	1.4	365	23	2	1.3	0.2	2.4266 (Lick: absorption)|2.42 (Magellan: absorption)|2.43 (VLT-Kueyen: absorption)|2.4266 (Keck: absorption)
080210	07:50:05	251.259	13.826	1.1	45	18	1	1.6	0.2	2.641 (VLT: absorption)|2.64 (Hobby-Eberly: absorption)
080207	21:30:21	207.514	7.492	1.2	340	61	2	1.0	0.3	2.0858 (TOUGH: emission)
071227	20:13:47	58.132	-55.959	1.7	1.8	2.2	0.3	1.6	0.2	0.383 (VLT: emission, host redshift)|0.384 (Magellan: emission, host redshift)
071122	01:23:25	276.576	47.102	2.3	68.7	5.8	1.1	0.4	0.2	1.140 (Gemini North: absorption)
071117	14:50:06	335.026	-63.442	1.0	6.6	24	1	11.3	0.4	1.331 (VLT: emission)
071112C	18:32:57	39.218	28.368	1.0	15	30	4	8	1	0.8230 (VLT: absorption)|0.823 (Gemini North: absorption)
071031	01:06:36	6.399	-58.048	2.1	180	9.0	1.3	0.5	0.1	2.692 (VLT)
071028B	02:43:46	354.163	-31.630	3	55	2.5	0.8	1.4	0.5	0.940 (Paranal: host, photometric)
071021	09:41:33	340.573	23.764	3.4	225	13	2	0.7	0.1	2.4520 (TOUGH: emission)
#	071020	07:02:26	119.666	32.857	1.0	4.2	23	1	8.4	0.3	>2.145 (VLT: absorption)|2.142 (BTA: absorption)
#	071010B	20:45:47	150.531	45.733	1.0	>35.7	44	1	7.7	0.3	0.947 (Gemini North: absorption)|0.947 (Keck I: absorption)|0.947 (Keck II: absorption)
071010A	03:41:12	288.040	-32.385	2.5	6	2.0	0.4	0.8	0.3	0.980 (Keck I: absorption)
071003	07:40:55	301.857	10.954	1.0	150	83	3	6.3	0.4	1.100 (Keck I: absorption)|>0.937 (VLT: absorption)
070810A	02:11:52	189.947	10.747	1.3	11.0	6.9	0.6	1.9	0.2	2.170 (Keck I: absorption)
070802	07:07:25	36.903	-55.517	2.0	16.4	2.8	0.5	0.4	0.1	2.450 (VLT)
070724A	10:53:50	27.824	-18.610	1.2	0.4	0.3	0.07	1.0	0.2	0.457 (Gemini South: emission, from host)|0.457 (VLT: emission, from host)
#	070721B	10:33:48	33.128	-2.198	1.2	340	36	2	1.5	0.3	proposed redshift 3.626 (VLT)
070721B	10:33:48	33.128	-2.198	1.2	340	36	2	1.5	0.3	3.626 (VLT)
070714B	04:59:29	57.853	28.294	1.4	64	7.2	0.9	2.7	0.2	0.920 (Gemini: emission, from host)
070612A	02:38:46	121.355	37.258	1.4	368.800	106.00	6.01	1.51	0.38	0.617 (Gemini North: emission)
070611	01:57:14	2.004	-29.756	1.9	12.200	3.91	0.57	0.82	0.21	2.040 (VLT)
070529	12:48:28	283.717	20.648	1.7	109.200	25.70	2.45	1.43	0.36	2.4996 (Gemini North: absorption)
070521	06:51:11	242.659	30.260	1.1	37.900	80.10	1.77	6.53	0.27	0.553 (Subaru: emission)
070508	04:18:18	312.832	-78.382	1.0	20.900	196.00	2.73	24.10	0.61	0.820 (VLT: emission, tentative)
070506	05:35:58	347.203	10.711	1.9	4.300	2.10	0.23	0.96	0.13	2.310 (VLT: absorption)
070429B	03:09:04	328.006	-38.857	1.8	0.470	0.63	0.10	1.76	0.24	0.904 (Keck I: from probable host)
070419A	09:59:26	182.755	39.903	2.3	115.600	5.58	0.83	0.20	0.10	0.970 (Keck I: absorption)
070411	20:12:33	107.342	1.061	1.5	121.500	27.00	1.55	0.91	0.13	2.954 (VLT: absorption)
070318	07:28:56	48.486	-42.950	1.0	74.600	24.80	1.12	1.76	0.15	0.836 (VLT: absorption)|0.840 (Gemini/Magellan: absorption)
#	070306	16:41:28	148.154	10.440	2.7	209.500	53.80	2.86	4.07	0.21	possible redshift:|1.497 (VLT: emission)
070306	16:41:28	148.154	10.440	2.7	209.500	53.80	2.86	4.07	0.21	1.497 (VLT: emission)
070208	09:10:34	197.891	61.942	3.6	47.700	4.45	1.01	0.90	0.22	1.165 (Gemini-North: emission)
070129	23:35:10	36.995	11.728	2.7	460.600	29.80	2.67	0.55	0.12	2.3384 (TOUGH: emission)
070110	07:22:42	0.934	-52.978	1.1	88.400	16.20	1.08	0.60	0.12	2.352 (VLT: absorption)
070103	20:46:39	352.581	26.823	2.7	18.600	3.38	0.46	1.04	0.15	2.6208 (TOUGH: emission)
061222B	04:11:02	105.353	-25.866	1.2	40.000	22.40	1.83	1.59	0.36	3.355 (Magellan: absorption)
061222A	03:28:52	358.254	46.524	1.2	71.400	79.90	1.58	8.53	0.26	2.088 (Perley)
061217	03:40:08	160.403	-21.152	2.2	0.210	0.42	0.07	1.49	0.24	0.827 (Magellan: emission)
061210	12:20:39	144.521	15.613	2.3	85.300	11.10	1.76	5.31	0.47	0.410 possible host redshift (Keck: emission)
061201	15:58:37	332.079	-74.568	1.2	0.760	3.34	0.27	3.86	0.31	0.111 (Magellan, from probable host)
061121	15:22:29	147.228	-13.188	1.0	81.300	137.00	1.99	21.10	0.46	1.314 (Keck I: absorption)
061110B	21:58:46	323.912	6.872	1.6	134.000	13.30	1.21	0.45	0.11	3.440 (VLT)
061110A	11:47:21	336.284	-2.252	1.1	40.700	10.60	0.76	0.53	0.12	0.758 (VLT: emission)
061021	15:39:08	145.146	-21.953	1.0	46.200	29.60	1.01	6.11	0.27	0.3463 (Fynbo)
061007	10:08:09	46.299	-50.496	1.0	75.300	444.00	5.62	14.60	0.37	1.261 (Magellan Clay: absorption)|1.262 (VLT: absorption)
060927	14:07:35	329.547	5.370	1.0	22.500	11.30	0.68	2.70	0.17	5.600 (VLT: absorption)
060926	16:48:42	263.926	13.039	1.4	8.000	2.19	0.25	1.09	0.14	3.208 (VLT: absorption)
#	060912A	13:55:54	5.285	20.971	1.0	5.000	13.50	0.62	8.58	0.44	probably host redshift:|0.937 (VLT: emission)
060912A	13:55:54	5.285	20.971	1.0	5.000	13.50	0.62	8.58	0.44	0.937 (VLT: emission)
060908	08:57:22	31.828	0.335	1.1	19.300	28.00	1.11	3.03	0.25	1.8836 (Fynbo)
060906	08:32:47	40.709	30.362	2.5	43.500	22.10	1.36	1.97	0.28	3.685 (VLT: absorption)
060904B	02:31:04	58.218	-0.729	1.0	171.500	16.20	1.43	2.44	0.21	0.703 (VLT: absorption)
060814	23:02:19	221.338	20.591	1.0	145.300	146.00	2.39	7.27	0.29	0.840 (Keck I: emission, from host)
060729	19:12:29	95.287	-62.221	4.1	115.300	26.10	2.11	1.17	0.13	0.540 (VLT, Gemini South: absorption)
060719	06:50:37	18.420	-48.381	1.3	66.900	15.00	0.91	2.16	0.20	1.5320 (TOUGH: emission)
060714	15:12:00	227.855	-6.544	1.5	115.000	28.30	1.67	1.28	0.13	2.710 (VLT: absorption)
#	060708	12:15:59	7.831	-33.751	1.0	10.200	4.94	0.37	1.94	0.14	Z<2.3 (VLT)
060707	21:30:19	357.069	-17.904	1.4	66.200	16.00	1.51	1.01	0.23	3.430 (VLT: absorption)
060614	12:43:49	320.877	-53.027	1.0	108.700	204.00	3.63	11.50	0.74	0.130 (Gemini: emission)|0.125 (VLT: emission)
060607A	05:12:13	329.705	-22.496	1.0	102.200	25.50	1.12	1.40	0.13	3.082 (VLT: absorption)
060605	18:15:45	322.128	-6.071	1.9	79.100	6.97	0.90	0.46	0.12	3.800 (ANU: absorption)|3.7 (SALT: absorption)|3.78 (Calar Alto)
060604	18:19:00	337.224	-10.945	3.7	95.000	4.02	1.06	0.34	0.13	2.1357 (TOUGH: emission)
060602A	21:32:12	149.579	0.314	1.6	75.000	16.10	1.57	0.56	0.20	0.787 (VLT: emission, probable)
060526	16:28:30	232.834	0.288	1.4	298.200	12.60	1.65	1.67	0.18	3.210 (Magellan: absorption)
060522	02:11:19	322.954	2.895	1.5	71.100	11.40	1.11	0.55	0.15	5.110 (Keck I: absorption)
060512	23:13:21	195.748	41.209	1.9	8.500	2.32	0.40	0.88	0.20	0.4428 (Keck I: emission)
060510B	08:22:15	239.259	78.591	1.9	275.200	40.70	1.76	0.57	0.11	4.900 (Gemini)
#	060505	06:36:01	331.772	-27.815	3.9	~4	9.44	1.71	2.65	0.63	0.089 (Gemini: emission)
060505	06:36:01	331.772	-27.815	3.9	4.00	9.44	1.71	2.65	0.63	0.089 (Gemini: emission)
060502B	17:24:41	278.927	52.618	2.4	0.131	0.40	0.05	0.62	0.12	0.287 (Keck I-candidate: absorption)
#	060502A	03:03:32	240.937	66.604	1.0	28.400	23.10	1.02	1.69	0.21	~1.51 (Gemini: absorption)
060502A	03:03:32	240.937	66.604	1.0	28.400	23.10	1.02	1.69	0.21	1.510 (Gemini: absorption)
060418	03:06:08	236.431	-3.640	1.0	103.100	83.30	2.53	6.52	0.35	1.490 (Magellan: absorption)|1.489 (VLT: absorption)
060223A	06:04:24	55.186	-17.134	1.2	11.300	6.73	0.48	1.35	0.18	4.410 (Keck: absorption)
#	060218	03:34:31	50.380	16.910	2.5	~2100	15.70	1.52	0.25	0.11	0.0331 (MDM: emission)|0.033 (VLT: emission)|0.033 (Gemini: emission)|0.033 (BTA: emission)|0.033 (Keck I: emission)
060218	03:34:31	50.380	16.910	2.5	2100	15.70	1.52	0.25	0.11	0.0331 (MDM: emission)|0.033 (VLT: emission)|0.033 (Gemini: emission)|0.033 (BTA: emission)|0.033 (Keck I: emission)
060210	04:58:50	57.727	27.015	1.0	255.000	76.60	4.09	2.72	0.28	3.910 (Gemini: absoption)
060206	04:46:53	202.933	35.046	1.0	7.600	8.31	0.42	2.79	0.17	4.045 (NOT: absorption)|4.048 (Lick: absorption)|4.05 (Subaru: absorption)
#	060124	15:54:52	77.097	69.727	1.6	~750	4.61	0.53	0.89	0.18	2.300 (MDM: absorption)|2.297 (Keck/ESI: absorption)|2.296 (Keck/LRIS: absorption)
060124	15:54:52	77.097	69.727	1.6	750.0	4.61	0.53	0.89	0.18	2.300 (MDM: absorption)|2.297 (Keck/ESI: absorption)|2.296 (Keck/LRIS: absorption)
#	060123	22:22:40	179.750	45.513	n/a	900	3.0	n/a	0.04	n/a	1.099 (probable, Gemini: emission)
#	060116	08:37:27	84.698	-5.438	1.7	105.900	24.10	2.61	1.11	0.32	~4.0 or ~6.6 (VLT: photometric)
060115	13:08:01	54.007	17.339	2.0	139.600	17.10	1.50	0.87	0.12	3.530 (VLT: absoprtion)
060108	14:39:12	147.013	31.935	1.3	14.300	3.69	0.37	0.77	0.12	2.030 (Liverpool: photometric)
051221A	01:51:16	328.715	16.888	1.0	1.400	11.50	0.35	12.00	0.39	0.547 (Gemini: emission)
051117B	13:22:54	85.205	-19.286	2.4	9.000	1.77	0.37	0.49	0.14	0.481 (TOUGH: emission)
051111	05:59:41	348.136	18.367	1.0	46.100	40.80	1.34	2.66	0.21	1.549 (Keck: absorption)
051109B	08:39:39	345.469	38.663	2.0	14.300	2.56	0.41	0.55	0.13	0.080 (Keck I: emission)
051109A	01:12:21	330.316	40.850	1.9	37.200	22.00	2.72	3.94	0.69	2.346 (HET: absorption)
051016B	18:28:09	132.123	13.629	1.6	4.000	1.70	0.22	1.30	0.16	0.9364 (Keck: emission)
051006	20:30:33	110.807	9.510	1.4	34.800	13.40	1.41	1.62	0.30	1.059 (TOUGH: emission)
051001	11:11:36	350.984	-31.515	2.3	189.100	17.40	1.47	0.49	0.11	2.4296 (TOUGH: emission)
050922C	19:55:50	317.383	-8.764	1.0	4.500	16.20	0.54	7.26	0.32	2.198 (NOT: absorption)|2.198 (TNG: absorption)|2.199 (VLT: absorption)
050915A	11:22:42	81.688	-28.014	1.4	52.000	8.50	0.88	0.77	0.14	2.5273 (TOUGH: emission)
050908	05:42:31	20.457	-12.950	1.5	19.400	4.83	0.51	0.70	0.14	3.350 (VLT: absorption)|3.3437 (GMOS: absorption)|3.3440 (Keck: absorption)
#	050904	01:51:44	13.770	14.189	2.7	174.200	48.30	1.80	0.62	0.17	6 < z < 8 (SOAR, UNC: photometric)|6.10 (VLT: photometric)|6.29 (Subaru: absorption)
#	050904	01:51:44	13.770	14.189	2.7	174.200	48.30	1.80	0.62	0.17	6.100 (VLT: photometric)|6.29 (Subaru: absorption)|6 < z < 8 (SOAR, UNC: photometric)
050826	06:18:10	87.761	-2.658	2.0	35.500	4.13	0.72	0.38	0.13	0.297 (MDM: emission from host)
050824	23:12:16	12.264	22.602	2.1	22.600	2.66	0.52	0.50	0.15	0.830 (VLT: emission)
050820A	06:34:53	337.416	19.560	1.1	26	34.40	2.42	2.45	0.23	2.612 (Keck: absorption)|2.6147 (VLT: absorption)
050819	16:23:55	358.751	24.871	2.0	37.700	3.50	0.55	0.38	0.12	2.5043 (TOUGH: emission)
050814	11:38:57	264.196	46.324	2.0	150.900	20.10	2.20	0.71	0.25	5.300 (NOT: photometric)
050813	06:45:10	242.001	11.244	2.8	0.450	0.44	0.11	0.94	0.23	1.800
#	050803	19:14:00	350.650	5.788	1.2	87.900	21.50	1.35	0.96	0.11	possible redshift:|0.422 (Keck: emission)
050803	19:14:00	350.650	5.788	1.2	87.900	21.50	1.35	0.96	0.11	0.422 (Keck: emission)
050802	10:08:02	219.283	27.799	1.3	19.000	20.00	1.57	2.75	0.44	1.710 (NOT: absorption)|1.434 (TOUGH: emission)
050730	19:58:23	212.069	-3.754	1.3	156.500	23.80	1.52	0.55	0.14	3.96855 (Magellan II: absorption)|3.97 (WHT: absorption)|3.968 (VLT: absorption)
050724	12:34:09	246.175	-27.526	1.9	96.000	9.98	1.20	3.26	0.30	0.257 (GMOS: absorption)|0.258 (Keck: absorption)
050525A	00:02:53	278.142	26.335	1.0	8.800	153.00	2.21	41.70	0.94	0.606 (GMOS: emission)
050509B	04:00:19	189.046	28.974	2.5	0.073	0.09	0.02	0.28	0.10	0.225 (Keck: absorption)
050505	23:22:21	141.760	30.266	1.3	58.900	24.90	1.79	1.85	0.31	4.270 (Keck: absorption)
050416A	11:04:44	188.485	21.058	1.5	2.500	3.67	0.37	4.88	0.48	0.6535 (Keck: emission)
050406	15:58:48	34.410	-50.180	2.5	5.400	0.68	0.14	0.36	0.10	2.440 (UVOT: photometric)
050401	14:20:15	247.873	2.185	1.0	33.300	82.20	3.06	10.70	0.92	2.900 (VLT: absorption)
050319	09:31:18	154.172	43.581	2.4	152.500	13.10	1.48	1.52	0.21	3.240 (NOT: absorption)
050318	15:44:37	49.695	-46.386	1.0	32	10.80	0.77	3.16	0.20	1.440 (Magellan: absorption)
050315	20:59:43	306.476	-42.591	1.1	95.600	32.20	1.46	1.93	0.22	1.949 (Magellan: absorption)
050223	03:09:06	271.394	-62.465	1.5	22.500	6.36	0.65	0.69	0.16	0.5915 (Magellan: emission from host)|0.584 (VLT: emission from host)
050126	12:00:54	278.115	42.384	1.4	24.800	8.38	0.80	0.71	0.17	1.290 (Keck: emission)
