GRB	Time [UT]	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	Redshift
141026A	02:36:51	44.049	26.925	1.9	146	13	1	0.4	0.2	3.350 (GTC: absorption, possible redshift)
141004A	23:20:54	76.721	12.828	1.0	3.92	6.7	0.3	6.1	0.3	0.570 (NOT: emission)|0.573 (GTC: emission)
140907A	16:07:08	48.133	46.596	1.4	79.2	43	2	2.5	0.2	1.210 (GTC)
140903A	15:00:30	238.021	27.608	1.0	0.30	1.4	0.1	2.5	0.2	0.351 (Gemini-North: absorption, tentative host redshift)
140710A	10:16:40	41.088	35.499	1.8	3.52	2.3	0.3	1.9	0.3	0.558 (Gemini-North: emission, host)
140703A	00:37:17	13.010	45.102	1.6	67.1	39	3	2.8	0.6	3.140 (GTC: absorption)
140629A	14:17:30	249.017	41.897	1.8	42.0	24	2	4.2	0.4	2.275 (BTA: absorption)|2.29 (TNG: absorption)
#	140622A	09:36:04	317.153	-14.412	2.5	0.13	0.27	0.05	0.6	0.2	~0.959 (VLT: emission from host)
140622A	09:36:04	317.153	-14.412	2.5	0.13	0.27	0.05	0.6	0.2	0.959 (VLT: emission from host)
#	140614A	01:04:59	231.171	-79.110	2.4	720	13	4	n/a	n/a	4.233 (VLT: absorption)
140518A	09:17:46	227.231	42.396	1.8	60.5	10	1	1.0	0.1	4.707 (Gemini-North: absorption)
140515A	09:12:36	186.071	15.099	1.2	23.4	5.9	0.6	0.9	0.1	6.320 (Gemini-North: absorption)
140512A	19:31:49	289.366	-15.087	1.1	154.8	140	3	6.8	0.3	0.725 (NOT: absorption)
140506A	21:07:36	276.806	-55.556	1.6	111.1	28	3	10.9	0.9	0.889 (VLT: absorption, host)
140430A	20:33:36	102.942	23.033	1.0	173.6	11	2	2.5	0.2	1.600 (VLT: absorption)
#	140428A	22:40:50	194.365	28.331	2.2	17.42	3.4	0.6	0.6	0.2	~4.7 (Keck I: estimate)
140428A	22:40:50	194.365	28.331	2.2	17.42	3.4	0.6	0.6	0.2	4.700 (Keck I: estimate)
140423A	08:31:53	197.276	49.838	1.0	134	94	3	2.1	0.2	3.260 (Gemini-North: absorption)
140419A	04:06:51	127.001	46.234	1.0	94.7	160	0	4.9	0.2	3.956 (Gemini-North: absorption)
140318A	00:09:07	184.049	20.225	2.1	8.43	2.9	0.5	0.5	0.2	1.020 (WHT: emission)
140311A	21:05:16	209.293	0.607	3.8	71.4	23	3	1.3	0.5	4.950 (Gemini-South: absorption)|~ 5 (NOT: absorption)|4.954 (Gemini-North)
140304A	13:22:31	30.653	33.480	1.0	15.6	12	1	1.7	0.2	5.283 (GTC: absorption)| 5.28 (NOT: absorption)
140301A	15:24:49	69.521	-34.249	1.9	31.0	4.4	0.8	0.7	0.2	1.416 (VLT: absorption)
140213A	19:21:37	105.166	-73.136	1.0	60.0	120	0	23.5	0.8	1.2076 (VLT: absorption)
140206A	07:17:20	145.321	66.762	1.0	93.6	160	3	19.4	0.5	2.730 (NOT: absorption)|2.74 (TNG: absorption)
140114A	11:57:40	188.498	27.942	1.9	139.7	32	1	0.9	0.1	3.000 (arXiv:1503.05323v1)
#	131227A	04:44:51	67.369	28.879	1.3	18.0	8.4	0.6	1.1	0.2	~5.3 (Gemini-North)
131227A	04:44:51	67.369	28.879	1.3	18.0	8.4	0.6	1.1	0.2	5.300 (Gemini-North)
131117A	00:34:04	332.354	-31.761	1.8	11.00	2.5	0.4	0.7	0.1	4.180 (MPG: photometric)|4.042 (VLT: absorption)
131105A	02:04:44	70.973	-63.005	1.5	112.3	71	5	3.5	0.6	1.686 (VLT: emission & absorption)
131103A	22:07:25	348.948	-44.645	1.8	17.3	8.2	1.0	1.5	0.3	0.599 (VLT: emission & absorption)
131030A	20:56:18	345.074	-5.380	1.0	41.1	290	0	28.1	0.7	1.293 (NOT: absorption)|1.295 (GTC: absorption)
131004A	21:41:03	296.108	-2.952	1.1	1.54	2.8	0.2	3.4	0.2	0.717 (Magellan: emission)|0.71 (TNG: emission)
