| common ID | Swift name |   Fermi name | BAT Trigger-time | GBM Trigger-time | BAT RA | GBM RA | BAT Dec | GBM Dec | BAT T90 | GBM T90 | GBM T90_error | redshift |     GBM flux | GBM flux_error |    Epeak | Epeak_error |      alpha | alpha_error |      beta |   beta_error |      Luminosity | Luminosity_error |
|    140423 |    140423A | GRB140423356 |            8.531 |            8.544 | 13.152 | 13.153 |  49.838 |  49.842 |   134.0 |  95.233 |        11.585 |     3.26 | 4.531803e-07 |   7.436924e-08 | 176.3977 |    85.90405 | -0.4857503 |    0.457935 | -2.060719 |     0.511084 |   3.53491415189 |    3.63180165918 |
|    140304 |    140304A | GRB140304557 |           13.375 |           13.375 |  2.044 |  2.043 |   33.48 |  33.474 |    15.6 |  31.232 |         8.719 |    5.283 | 3.665835e-07 |   6.775194e-08 | 165.1635 |    91.63031 | -0.5597252 |   0.5317759 | -2.065304 |    0.5721725 |   8.91235129137 |    9.34124462323 |
|    140213 |    140213A | GRB140213807 |            19.36 |           19.359 |  7.011 |  7.015 | -73.136 | -73.136 |    60.0 |  18.624 |         0.716 |    1.207 | 2.924191e-06 |    7.94907e-08 | 84.22611 |    3.368298 | -0.8443649 |  0.05713401 | -2.891428 |    0.1713115 |   2.68551115128 |    2.39141374734 |
|    140206 |    140206A | GRB140206304 |            7.289 |            7.304 |  9.688 |  9.689 |  66.762 |  66.761 |    93.6 |  27.264 |         1.243 |     2.73 | 2.626915e-06 |   9.661077e-08 | 112.1012 |    7.155801 |  0.6408532 |   0.2069289 |  -2.50134 |     0.120435 |   15.3023995995 |    13.7733962448 |
|    131105 |    131105A | GRB131105087 |            2.079 |            2.082 |  4.732 |  4.734 | -63.005 | -62.981 |   112.3 | 112.642 |         0.462 |    1.686 | 1.613066e-06 |   8.845868e-08 | 453.4917 |    75.79134 |  -1.031655 |  0.06232928 | -16.37695 |   14813320.0 |   3.20082799922 |    2.93881585478 |
|    131004 |    131004A | GRB131004904 |           21.684 |           21.684 | 19.741 | 19.741 |  -2.952 |   -2.96 |    1.54 |   1.152 |          0.59 |    0.717 | 8.913636e-07 |   2.606967e-07 | 143.9829 |    89.52818 |  -1.253728 |   0.4618787 | -19.41504 | 3146108000.0 |  0.237292144852 |   0.274255872147 |
|    130612 |    130612A | GRB130612141 |            3.373 |            3.373 | 17.318 |  17.32 |  16.729 |  16.706 |     4.0 |   7.424 |         6.192 |    2.006 | 1.963695e-07 |   3.381673e-08 | 22.64057 |    7.168792 |   4.746712 |    7.919028 | -2.153485 |    0.1783322 |  0.496905152676 |   0.514551856952 |
|    130610 |    130610A | GRB130610133 |            3.204 |            3.203 | 14.961 | 14.961 |  28.187 |   28.21 |    46.4 |   21.76 |         1.639 |    2.092 | 3.063095e-07 |   6.017107e-08 | 150.1687 |    55.75545 |  -1.088906 |   0.2963585 | -17.99561 |  679275800.0 |    1.1974864599 |    1.26902709864 |
|    130420 |    130420A | GRB130420313 |            7.475 |            7.506 | 13.075 | 13.074 |  59.421 |   59.42 |   123.5 | 104.962 |         8.809 |    1.297 | 2.968471e-07 |   3.130405e-08 | 58.71772 |    6.265651 | -0.0304168 |   0.5771997 | -21.30344 |  425580200.0 |  0.304132280762 |    0.29463078377 |
|    121211 |    121211A | GRB121211574 |           13.784 |           13.784 | 13.038 | 13.036 |  30.173 |  30.161 |   182.0 |   5.632 |         1.717 |    1.023 | 1.891271e-07 |   6.972677e-08 | 111.2914 |    44.98701 | -0.6449137 |   0.5417175 | -3.002151 |     3.076529 |  0.107131394595 |   0.131983769471 |
|    121128 |    121128A | GRB121128212 |            5.094 |            5.097 | 20.039 |  20.04 |  54.301 |    54.3 |    23.3 |  17.344 |         0.923 |      2.2 | 1.558807e-06 |    6.33829e-08 | 115.3063 |    6.532349 | -0.4591057 |   0.1087446 | -15.64179 |    2159731.0 |   6.05933219429 |    5.47742239528 |
|    120922 |    120922A | GRB120922939 |           22.508 |           22.536 | 15.651 |  15.65 | -20.181 | -20.182 |   173.0 | 182.275 |        19.777 |      3.1 | 1.985811e-07 |    3.59711e-08 | 65.40438 |    24.02708 |  -1.047324 |   0.6229689 |  -2.47594 |    0.6072668 |   2.27340383002 |    2.37444330866 |
|    120907 |    120907A | GRB120907017 |            0.406 |            0.407 |  4.982 |  4.983 |  -9.323 |  -9.315 |    16.9 |    5.76 |         1.778 |     0.97 | 4.084654e-07 |   7.799027e-08 | 133.8963 |    42.99683 | -0.9355976 |   0.3040822 | -8.877418 |     12518.22 |  0.212850914566 |   0.224395599959 |
|    120811 |    120811C | GRB120811649 |           15.581 |           15.582 | 13.313 | 13.314 |  62.297 |  62.291 |    26.8 |  14.336 |         6.557 |    2.671 |  5.21893e-07 |    6.55163e-08 | 32.60298 |    6.479752 |   4.591173 |    4.369969 | -2.232736 |    0.1643001 |   2.66250334078 |    2.63278826975 |
|    120119 |    120119A | GRB120119170 |            4.075 |            4.074 |  8.002 |  8.002 |  -9.076 |  -9.803 |   253.8 |  55.297 |         6.229 |    1.728 | 2.908666e-06 |    8.82327e-08 |   274.49 |    31.76734 | -0.8422723 |  0.06524489 | -2.349339 |    0.2383105 |   5.60262636838 |    5.00671959615 |
|    120118 |    120118B | GRB120118709 |           17.006 |           17.006 |  8.324 |  8.324 |  -7.178 |  -7.182 |   23.26 |  37.825 |        12.586 |    2.943 | 1.828941e-07 |   6.471384e-08 | 67.13271 |    12.69811 | -0.9315465 |   0.3508093 | -5.944047 |     145.9666 |   2.04021453993 |    2.48321823357 |
|    111228 |    111228A | GRB111228657 |           15.745 |           15.759 | 10.004 | 10.004 |  18.284 |  18.299 |   101.2 |  99.842 |         2.111 |    0.714 | 1.369611e-06 |   8.491401e-08 | 94.72234 |    11.90862 |  -1.374451 |  0.08393044 | -2.725856 |    0.5113714 |  0.392595853216 |   0.363269795473 |
|    111107 |    111107A | GRB111107035 |             0.84 |             0.84 |  8.632 |  8.632 |  -66.52 |  -66.52 |    26.6 |  12.032 |         0.923 |    2.893 | 2.528505e-07 |   8.545003e-08 | 128.8109 |    76.39503 | -0.6491599 |   0.7309694 | -2.547354 |     1.633896 |   1.87392445549 |    2.25105247971 |
|    110818 |    110818A | GRB110818860 |            20.63 |           20.632 | 21.158 | 21.156 | -63.981 | -63.981 |   103.0 |  67.073 |         3.916 |     3.36 | 4.520445e-07 |   5.100752e-08 | 54.89148 |    34.48289 |   1.246445 |    2.916469 | -1.634812 |    0.1203184 |   2.50096639248 |     2.4412956473 |
|    110731 |    110731A | GRB110731465 |           11.158 |           11.158 | 18.701 |   18.7 | -28.536 | -28.537 |    38.8 |   7.485 |         0.572 |     2.83 | 2.410084e-06 |   1.176798e-07 | 176.5686 |     15.0399 | -0.9606754 |  0.07199378 | -4.295763 |     5.735778 |   18.9003709612 |    17.2396261512 |
|    110213 |    110213A | GRB110213220 |            5.291 |            5.286 |  2.865 |  2.867 |  49.278 |  49.291 |    48.0 |  34.305 |         1.639 |     1.46 | 1.376025e-06 |   9.771947e-08 | 81.15365 |    9.575954 |  -1.059352 |   0.1321034 | -2.667196 |    0.3660178 |   2.19569850908 |    2.05148350425 |
|    110128 |    110128A | GRB110128073 |            1.742 |            1.743 | 12.925 | 12.927 |  28.108 |    28.1 |    30.7 |   12.16 |         4.971 |    2.339 | 2.746435e-07 |   8.365824e-08 | 323.4807 |    206.8839 | -0.8989181 |   0.3453854 | -13.28002 |    2543975.0 |   1.23404031349 |    1.44124827063 |
|    101219 |    101219B | GRB101219686 |           16.465 |            16.47 |  0.817 |  0.815 | -34.556 | -34.566 |    34.0 |  51.009 |         1.775 |    0.551 |  2.30267e-07 |   6.262781e-08 | 87.21371 |     23.3495 |  0.4960754 |   0.9830689 | -2.638719 |    0.8528025 | 0.0266750452777 |  0.0302837156134 |
|    100906 |    100906A | GRB100906576 |           13.824 |           13.824 |  1.913 |  1.912 |  55.634 |  55.631 |   114.4 | 110.594 |         2.828 |    1.727 | 2.237663e-06 |   1.222077e-07 | 146.3268 |    25.17996 | -0.6028408 |   0.1577489 | -2.140209 |    0.1628662 |   4.08136437161 |    3.74635588724 |
|    100816 |    100816A | GRB100816026 |            0.631 |            0.631 | 23.449 | 23.449 |  26.568 |  26.579 |     2.9 |   2.045 |         0.229 |    0.803 | 2.517018e-06 |   3.848897e-07 | 131.9189 |    23.63843 | -0.1299976 |   0.3271034 | -3.195457 |     1.390314 |  0.749351763981 |   0.761505122223 |
|    100814 |    100814A | GRB100814160 |            3.836 |            3.836 |  1.499 |  1.498 |  -17.99 | -17.996 |   174.5 |  150.53 |         1.619 |     1.44 | 1.001622e-06 |   7.883003e-08 |  128.188 |    28.52776 |  0.9106327 |   0.7165975 | -1.841843 |    0.1375029 |  0.973564546746 |   0.917103559707 |
|    100728 |    100728B | GRB100728439 |           10.532 |           10.532 |  2.937 |  2.937 |   0.296 |    0.28 |    12.1 |   10.24 |         1.846 |      2.8 | 7.418661e-07 |   7.117626e-08 | 63.19291 |    20.82245 | -0.1778322 |    0.618432 | -1.842766 |    0.1186177 |   3.57527494925 |    3.42956723043 |
|    100728 |    100728A | GRB100728095 |            2.307 |            2.292 |  5.917 |  5.917 | -15.259 | -15.256 |   198.5 | 165.378 |         2.896 |    1.567 | 2.977882e-06 |   1.290585e-07 | 445.7095 |      56.038 | -0.4535787 |  0.09414341 | -2.473951 |    0.3791233 |   4.35940158774 |     3.9524190261 |
|    100704 |    100704A | GRB100704149 |            3.586 |            3.585 |  8.909 |  8.909 | -24.202 | -24.216 |   197.5 | 214.404 |         5.917 |      3.6 | 1.234421e-06 |   9.614278e-08 | 241.4656 |    42.80981 | -0.5048383 |   0.1484732 | -2.557929 |    0.7260258 |   14.4702112105 |    13.6191957698 |
