|         name |       pseudo z |  pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] |        Luminosity |  Luminosity_error |
| GRB150412931 |  4.35705313473 |   1.55682530374 |           1142.185 |                 790.5856 | 4.23471746996e+53 |  7.3498612583e+53 |
| GRB150214293 |  2.49303468095 |  0.930654322037 |           462.9161 |                 289.0205 | 7.96002264629e+52 | 8.16504923985e+52 |
| GRB150118927 | 0.681016741967 | 0.0774426227718 |           257.3183 |                 42.98204 | 1.62405507792e+52 |  1.9179745811e+51 |
| GRB150101641 | 0.727017197372 |  0.141356461857 |           23.09543 |                 4.745475 | 9.18882882978e+50 | 1.50313563621e+50 |
| GRB141230871 | 0.536015306453 |  0.280004548942 |           40.79625 |                 34.50876 | 1.29053543402e+51 | 6.71898313205e+50 |
| GRB141213300 |  1.19802186032 |  0.304317266251 |           195.2583 |                 66.56731 | 1.73688502955e+52 | 6.03316738025e+51 |
| GRB141202470 |  1.55302537485 |  0.234668181957 |           647.5989 |                 140.9063 | 8.68680528478e+52 | 2.26280975586e+52 |
| GRB141113346 |  1.80402785978 |  0.945656452155 |           234.8776 |                  217.768 | 2.02362674374e+52 | 2.36521407672e+52 |
| GRB141105406 |  1.39302379084 |  0.188342756905 |           322.9593 |                 53.56593 | 3.45153211505e+52 | 6.65923324445e+51 |
| GRB141011282 | 0.983019731797 |   0.13406353891 |           475.6797 |                 98.46963 | 4.13321066985e+52 | 7.42008614697e+51 |
| GRB140901821 |  0.80401795968 | 0.0515327188151 |           697.6152 |                  62.9287 | 6.31489876672e+52 |  4.4605588452e+51 |
| GRB140807500 |  1.68802671137 |  0.283595957912 |           826.8456 |                 234.3196 | 1.27065228132e+53 | 4.37887255817e+52 |
| GRB140710537 |  1.32102307803 |  0.744435917176 |           248.4266 |                 245.4092 | 1.55593160731e+52 | 1.55792034949e+52 |
| GRB140626843 |  1.71502697867 |  0.880232887137 |           246.9312 |                 199.8801 | 2.92075027302e+52 | 2.96363532912e+52 |
| GRB140605377 |  1.71002692917 |  0.257291488491 |           728.3437 |                 170.8517 | 1.08898692355e+53 | 3.20586135054e+52 |
| GRB140511095 |  1.57302557286 |  0.379731547021 |           315.4656 |                 107.2474 | 3.70842072769e+52 | 1.53363284051e+52 |
| GRB140428906 |  1.20202189992 |  0.338687089545 |           490.0442 |                 220.6209 | 4.33822117766e+52 | 1.90217994348e+52 |
| GRB140402007 |  3.80904770948 |  0.773644179733 |           1392.636 |                 489.5772 |  4.7112012976e+53 | 3.82726289336e+53 |
| GRB140105748 |  3.18304151202 |   1.49232647949 |           440.5833 |                 347.7609 | 1.00720409548e+53 | 1.59182234372e+53 |
| GRB140105065 |   1.9950297507 |  0.542355826894 |           420.6012 |                 173.1457 | 6.33192875113e+52 | 3.70577202363e+52 |
