| common ID | Swift name |   Fermi name | BAT Trigger-time | GBM Trigger-time | BAT RA | GBM RA | BAT Dec | GBM Dec | BAT T90 | GBM T90 | GBM T90_error |     GBM flux | GBM flux_error |    Epeak | Epeak_error |       alpha | alpha_error |      beta |   beta_error |
|    160220 |    160220A | GRB160220059 |            1.424 |            1.424 | 15.796 | 15.797 | -18.539 | -18.565 |     8.3 |   8.768 |         1.231 | 2.578029e-07 |   5.963154e-08 | 238.9807 |    55.00035 |   0.9310824 |   0.9783629 | -19.60776 |   75959650.0 |
|    160104 |    160104A | GRB160104475 |           11.403 |           11.404 |  5.121 |   5.12 |  11.334 |  11.324 |    16.2 |   8.704 |         2.896 | 1.493242e-07 |   6.796836e-08 | 94.52878 |    44.46277 |   -1.108063 |   0.5049747 | -3.710452 |     13.98047 |
|    151229 |    151229A | GRB151229285 |            6.841 |            6.841 | 21.958 | 21.958 | -20.732 | -20.732 |    1.78 |   3.456 |         1.032 | 7.680819e-07 |   4.333282e-08 | 101.8448 |    10.33207 |   -1.138658 |   0.1052148 | -10.39922 |     37238.27 |
|    151228 |    151228B | GRB151228949 |           22.787 |           22.787 | 22.962 | 22.962 |   8.081 |   8.082 |    48.0 |  28.672 |         1.557 | 1.784359e-07 |    2.81886e-08 | 80.57541 |    11.23311 |   0.7437437 |    1.035486 |    -8.623 |          0.0 |
|    151228 |    151228A | GRB151228129 |            3.087 |            3.087 | 14.268 | 14.267 | -17.665 | -17.689 |    0.27 |   0.256 |         2.268 | 5.426348e-06 |   7.555202e-07 | 963.9893 |    351.4275 |  -0.4016475 |   0.3039737 | -8.833008 |     1454.866 |
|    151205 |    151205A | GRB151205657 |           15.767 |           15.767 | 15.286 | 15.285 |  35.767 |  35.769 |    62.8 |   56.32 |         13.59 | 2.695555e-07 |   6.223036e-08 | 230.5877 |    150.8432 |   0.7987098 |    1.852656 | -2.087563 |    0.8926182 |
|    151111 |    151111A | GRB151111356 |            8.556 |            8.556 |   3.79 |   3.79 | -44.154 | -44.161 |   76.93 |  46.336 |         4.382 | 1.368539e-07 |   5.791084e-08 | 108.4304 |     44.1952 |   0.3111471 |    1.152251 | -2.770742 |     1.780137 |
|    151027 |    151027A | GRB151027166 |            3.973 |            3.973 | 18.167 | 18.166 |  61.361 |  61.353 |  129.69 | 123.394 |         1.145 | 1.700146e-06 |   7.621476e-08 | 224.0196 |    46.11414 |  -0.8552502 |   0.1129483 | -2.048382 |    0.1706586 |
|    151006 |    151006A | GRB151006413 |            9.917 |            9.916 |  9.828 |  9.828 |  70.508 |  70.504 |   203.9 |   93.44 |         6.149 | 9.039081e-07 |   5.167331e-08 |  201.169 |     121.881 |  -0.9392719 |   0.2501605 | -1.649358 |   0.09568885 |
|    151001 |    151001A | GRB151001628 |           15.073 |           15.073 | 15.581 | 15.582 |  10.984 |  10.967 |    8.94 |  23.552 |         5.938 |  2.02087e-07 |   5.659053e-08 | 153.3153 |    67.98231 |  -0.7915928 |   0.4551944 | -9.622573 |     45392.11 |
|    150831 |    150831B | GRB150831930 |           22.324 |           22.324 | 18.069 | 18.068 | -27.243 | -27.252 |     6.2 |   13.76 |         2.064 | 7.510514e-07 |    5.93737e-08 | 73.33627 |    6.618966 |   0.2118799 |   0.3352935 | -2.978171 |    0.3793959 |
|    150817 |    150817A | GRB150817087 |            2.087 |            2.086 | 16.642 | 16.643 |  -12.05 | -12.066 |    38.8 |  35.584 |         1.145 | 3.068376e-06 |   1.368165e-07 | 235.9071 |    21.69657 |  -0.3805817 |  0.09495487 | -2.721359 |    0.4065729 |
|    150727 |    150727A | GRB150727793 |           19.034 |           19.032 | 13.598 | 13.599 |  -18.32 |  -18.36 |    88.0 |  49.409 |         3.974 | 3.708029e-07 |   5.216092e-08 | 85.85712 |    53.78795 |    1.732012 |    3.598159 | -1.699293 |    0.1911544 |
|    150711 |    150711A | GRB150711766 |           18.384 |           18.383 | 14.775 | 14.775 | -35.464 | -35.456 |    64.2 |  82.177 |         6.192 |  5.86347e-07 |   5.101459e-08 | 65.87003 |    17.55957 |  0.08170646 |   0.6638416 | -1.961953 |    0.1286578 |
|    150607 |    150607A | GRB150607330 |            7.919 |            7.919 |  9.334 |  9.333 |  68.436 |  68.437 |    26.3 |  26.173 |          0.68 | 6.401933e-07 |   1.079821e-07 | 122.8415 |    44.53263 |   -0.966243 |   0.3294013 | -2.537207 |     0.903137 |
|    150530 |    150530A | GRB150530488 |           11.705 |           11.704 | 21.834 | 21.834 |  57.519 |  57.516 |    6.62 |   7.168 |         0.572 | 7.708282e-07 |   7.604616e-08 | 168.6363 |    21.08238 |  -0.6749571 |   0.1372905 | -7.068844 |     373.5527 |
|    150527 |    150527A | GRB150527283 |            6.815 |            6.786 | 19.264 | 19.264 |   4.195 |   4.201 |   112.0 |  20.736 |         5.146 | 6.150912e-07 |   1.119474e-07 |  465.375 |    166.9224 |  -0.4138187 |   0.3120549 | -6.948812 |     739.5955 |
|    150513 |    150513A | GRB150513856 |           20.522 |           20.554 |   3.27 |  3.271 | -22.868 |  -22.91 |   162.0 | 158.978 |         2.862 | 5.654681e-07 |   6.229316e-08 | 73.52573 |    26.87482 | -0.06505764 |   0.8140514 | -1.993231 |    0.1853797 |
|    150430 |    150430A | GRB150430015 |            0.358 |            0.352 | 21.765 | 21.765 | -27.919 | -27.902 |   107.1 | 111.618 |          2.36 | 2.008915e-06 |   1.181153e-07 | 235.1886 |    53.60435 |  -0.4989807 |   0.1840277 | -2.056225 |    0.1885924 |
|    150403 |    150403A | GRB150403913 |           21.904 |           21.903 | 20.767 | 20.767 | -62.706 | -62.712 |    40.9 |  22.272 |          0.81 | 8.930864e-06 |   1.770645e-07 | 509.2573 |     33.6835 |  -0.6716096 |  0.03419109 | -2.185594 |   0.07740498 |
