|    name |       pseudo z |   pseudo z_error | Epeak (siml) [keV] | Epeak_error (siml) [keV] |        Luminosity |  Luminosity_error |
| 160313A |    3.073040423 |   0.101967484788 |      92.6513788296 |                      0.0 | 1.44324180955e+52 | 4.44052143633e+50 |
| 160303A |  4.67105624336 |  0.0419496396936 |      372.921496145 |                      0.0 | 1.20016722287e+53 | 1.09108334189e+51 |
| 160228A |  6.79107723157 |  0.0319110399885 |      788.369158689 |                      0.0 | 4.44985698902e+53 | 2.23996578858e+51 |
| 160225A |  1.28702274143 |   0.056487189932 |      50.9166525841 |                      0.0 | 3.40186497639e+51 | 1.03263880753e+50 |
| 160220B | 0.563015573756 | 0.00959325268928 |      62.4786859276 |                      0.0 | 2.73637743171e+51 | 2.06409870592e+49 |
| 160216A |  1.61902602826 |  0.0219906395189 |      367.565875732 |                      0.0 | 4.55972926946e+52 |  4.7053180606e+50 |
| 160127A |  2.35503331473 |  0.0810912861736 |       170.83939862 |                      0.0 | 2.41216937655e+52 | 7.16534381937e+50 |
| 160123A |  3.79304755108 |  0.0646186108017 |      334.147966373 |                      0.0 | 8.52547573979e+52 | 1.41259083876e+51 |
| 160119A |  1.41402399874 |  0.0205748175126 |      140.316882171 |                      0.0 | 1.26418282444e+52 | 1.32420790811e+50 |
| 160117A |  2.70803680947 |  0.0565034187757 |      211.617243014 |                      0.0 | 3.54795733586e+52 | 6.64447942377e+50 |
| 151210A |  3.30104268023 |   0.103320127484 |       181.77138448 |                      0.0 | 3.53182081815e+52 |  1.0427056486e+51 |
| 151118A |  1.08902078121 |  0.0212126430482 |      45.3453536479 |                      0.0 | 2.63929624507e+51 |  3.2937607236e+49 |
| 151114A |  2.18703165152 |  0.0507838726959 |      275.763661461 |                      0.0 | 4.07983872415e+52 | 7.98977075249e+50 |
| 151023A |    4.014049739 |  0.0765827801593 |      318.240898274 |                      0.0 | 8.49065297458e+52 | 1.59380602564e+51 |
| 151022A |  2.64803621546 |  0.0982511251086 |       129.68353513 |                      0.0 | 1.90514565338e+52 | 6.30606522401e+50 |
| 151004A |   5.0510600054 |   0.103923795387 |      200.097885433 |                      0.0 | 6.04787980856e+52 | 1.27655218738e+51 |
| 151001B |  1.80602787958 |   0.203368953664 |      49.1510811713 |                      0.0 | 4.18634564534e+51 | 3.72889056865e+50 |
| 150925A |  2.66603639366 |   0.131258663395 |      103.697307357 |                      0.0 | 1.45596669316e+52 | 6.40670207034e+50 |
| 150911A |  1.48202467195 |  0.0176688427345 |      242.941076072 |                      0.0 | 2.56705795802e+52 | 2.24589561932e+50 |
| 150907B |  1.68302666187 |  0.0654947992777 |      77.3895078063 |                      0.0 | 6.92836600051e+51 |  2.0785694113e+50 |
| 150819A |  11.9741285438 |  0.0856141389363 |       691.43899825 |                      0.0 | 7.08723004829e+53 |  5.7477214054e+51 |
| 150811A |  2.38503361174 |   0.152041301954 |      75.3840209009 |                      0.0 | 8.91986939697e+51 | 4.92389715129e+50 |
| 150801B |  1.43502420664 |  0.0240659785738 |      127.314125528 |                      0.0 | 1.13315058294e+52 | 1.37638443348e+50 |
| 150724A |  2.71403686887 |  0.0879483877567 |       148.21921796 |                      0.0 | 2.29490056494e+52 |  6.6787844546e+50 |
| 150722A |  8.55909473495 |  0.0847375149509 |      476.655232269 |                      0.0 | 3.08239110442e+53 | 3.35813834219e+51 |
| 150720A |  3.91804878859 |   0.140271860924 |      106.518628552 |                      0.0 |  2.1595555557e+52 | 7.56996706021e+50 |
| 150716A |  5.47606421294 |  0.0512027323782 |      399.872571785 |                      0.0 | 1.53931195781e+53 | 1.49575518478e+51 |
| 150710B | 0.747017395374 | 0.00708823180529 |      119.342526748 |                      0.0 | 6.95869246921e+51 | 3.46992596833e+49 |
| 150626B |  1.78202764198 |   0.112264653791 |      55.8122275933 |                      0.0 | 4.84602959693e+51 | 2.40336396763e+50 |
| 150626A |  11.4721235739 |   0.200955988281 |       806.39396613 |                      0.0 | 8.15569798745e+53 | 1.61500386139e+52 |
| 150616A |  1.72902711727 |  0.0457782966816 |      191.963235952 |                      0.0 |   2.159805093e+52 | 4.45264654823e+50 |
| 150615A |  2.76503737377 |   0.132593930813 |      109.617296182 |                      0.0 | 1.61124151747e+52 | 6.97375813374e+50 |
| 150428B |  2.95403924489 |  0.0866519239894 |      241.707373823 |                      0.0 | 4.52167695606e+52 |  1.2178355547e+51 |
| 150428A |  4.35405310503 |  0.0701995250276 |      816.921050628 |                      0.0 | 2.93133411413e+53 | 4.72355203923e+51 |
| 150424A |   1.0370202664 | 0.00821837027955 |      273.171521554 |                      0.0 | 2.32509921088e+52 | 1.15287899441e+50 |
| 150318A |  1.31602302853 |  0.0520357703827 |      57.0012335306 |                      0.0 | 3.96775508125e+51 | 1.09560966477e+50 |
| 150317A |  2.62903602736 |  0.0653625615917 |      178.350513572 |                      0.0 | 2.80122946233e+52 | 6.20066620131e+50 |
